"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Малый бизнес и ИП","Проверка соцсетей","0","0","3","0","0"
"","Вклады","","0","0","2","0","0"
"","Малый бизнес и ИП","Расчетный счет","0","0","1","1","0"
"","Карты","Виртуальная карта","0","0","3","0","0"
"","Ипотека","Ипотека для ИТ","0","0","1","0","0"
"","Акции и предложения","","0","0","1","0","0"
"","Онлайн банк","Работа с документами","0","0","1","1","0"
"","Онлайн банк","Авторизация неуспешная","0","0","2","0","0"
"","Онлайн банк","Авторизация успешная","0","0","1","0","0"
"","Офисы и банкоматы","","0","0","1","0","0"
