"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 07 15:03:21 GMT 2022","Sun Aug 07 15:03:32 GMT 2022","10746","","tests.BanksOffersTest","","tests.BanksOffersTest","banksOffersCountCheck","banksOffersCountCheck",""
"passed","Sun Aug 07 15:03:32 GMT 2022","Sun Aug 07 15:03:46 GMT 2022","14544","","tests.MortgagePaymentsGraphTest","","tests.MortgagePaymentsGraphTest","shouldBeCorrectTimeline","shouldBeCorrectTimeline",""
"broken","Sun Aug 07 15:00:53 GMT 2022","Sun Aug 07 15:01:10 GMT 2022","16688","","tests.AccountDocsAccessTest","","tests.AccountDocsAccessTest","tariffPDFAccessTest","tariffPDFAccessTest",""
"passed","Sun Aug 07 15:00:28 GMT 2022","Sun Aug 07 15:00:53 GMT 2022","24308","","tests.AccountDocsAccessTest","","tests.AccountDocsAccessTest","currencyTransferAccessTest","currencyTransferAccessTest",""
"failed","Sun Aug 07 15:01:43 GMT 2022","Sun Aug 07 15:01:56 GMT 2022","12981","","tests.SmallBusinessSocialsTest","","tests.SmallBusinessSocialsTest","tgUrlTest","tgUrlTest",""
"passed","Sun Aug 07 15:01:10 GMT 2022","Sun Aug 07 15:01:24 GMT 2022","13878","","tests.SmallBusinessSocialsTest","","tests.SmallBusinessSocialsTest","okUrlTest","okUrlTest",""
"passed","Sun Aug 07 15:01:56 GMT 2022","Sun Aug 07 15:02:11 GMT 2022","15313","","tests.DepositPositiveValuesTest","","tests.DepositPositiveValuesTest","checkTermValue","checkTermValue",""
"failed","Sun Aug 07 15:02:42 GMT 2022","Sun Aug 07 15:03:21 GMT 2022","38851","","tests.ATMCheckoutTest","","tests.ATMCheckoutTest","atbNotEmptyCheck","atbNotEmptyCheck",""
"passed","Sun Aug 07 15:02:25 GMT 2022","Sun Aug 07 15:02:42 GMT 2022","16753","","tests.orderVirtualCardTest","","tests.orderVirtualCardTest","isSmsCodeReadyToInput","isSmsCodeReadyToInput",""
"passed","Sun Aug 07 15:02:11 GMT 2022","Sun Aug 07 15:02:25 GMT 2022","14169","","tests.DepositPositiveValuesTest","","tests.DepositPositiveValuesTest","checkDepositValue","checkDepositValue",""
"passed","Sun Aug 07 15:01:24 GMT 2022","Sun Aug 07 15:01:43 GMT 2022","19017","","tests.SmallBusinessSocialsTest","","tests.SmallBusinessSocialsTest","vkUrlTest","vkUrlTest",""
