"Status","Name","Duration in ms","Description"
"passed","tests.deposit.DepositPositiveValuesTest.checkDepositValue","5749",""
"passed","tests.onlineBank.OnlineBankLoginTest.correctPhoneNumberInput","6133",""
"passed","tests.mortgage.MortgagePaymentsGraphTest.shouldBeCorrectTimeline","8168",""
"passed","tests.deposit.DepositPositiveValuesTest.checkTermValue","5970",""
"passed","tests.officesAndBanks.ATMCheckoutTest.atbNotEmptyCheck","8903",""
"passed","tests.cards.VirtualCardOrderTest.emptyPhoneRequest","8225",""
"passed","tests.onlineBank.OnlineBankLoginTest.emptyPhoneNumberInput","4873",""
"passed","tests.cards.VirtualCardOrderTest.incorrectPhoneRequest","9600",""
"passed","tests.onlineBank.OnlineBankTermsAndPolicyTest.expectedTermsPDF","5864",""
"skipped","tests.onlineBank.OnlineBankTermsAndPolicyTest.expectedPolicyPDF","0",""
"passed","tests.smallBusiness.SmallBusinessSocialsTest.vkUrlTest","8343",""
"passed","tests.offers.BanksOffersTest.banksOffersCountCheck","5821",""
"skipped","tests.smallBusiness.AccountDocsAccessTest.tariffPDFAccessTest","0",""
"passed","tests.onlineBank.OnlineBankLoginTest.incorrectPhoneNumberInput","5595",""
"passed","tests.smallBusiness.SmallBusinessSocialsTest.tgUrlTest","6027",""
"passed","tests.smallBusiness.AccountDocsAccessTest.currencyTransferAccessTest","7547",""
"passed","tests.smallBusiness.SmallBusinessSocialsTest.okUrlTest","6417",""
"passed","tests.cards.VirtualCardOrderTest.isSmsCodeReadyToInput","8366",""
